"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned"
"8201",761.487936212121,806.840224297297,951.7743581,743.493028625
"8202",702.041756461538,708.847418151515,877.032759205882,856.478425636364
"8203",912.146582588235,881.245191117647,806.516639371429,822.222585108108
"8204",497.4105976875,530.196905735294,540.256027566667,514.361520783784
"8205",761.025255638889,726.728292083333,682.775998157895,656.892286078947
"8206",599.648467513514,554.942431205128,759.1188256,672.271529974359
"8207",767.865040378378,769.152045861111,748.995170454545,715.626843263158
"8208",466.284808636364,536.227848694444,787.913934969697,672.413705162162
"8209",651.77197875,563.218007358974,614.023580111111,518.2855981
"8210",849.436807111111,702.919498034483,736.188118064516,567.320603411765
"8212",929.832030727273,756.773962411765,1063.480987,1017.0434595
"8213",722.668465,608.444045542857,719.203695757576,711.485988555556
"8214",476.442349324324,567.001316692308,621.218310131579,643.098024513513
"8215",949.367466323529,894.200888454546,1032.66478532258,1073.59100891429
"8216",579.111000882353,578.478776657143,772.250178486486,796.566311972973
"8217",558.606939933333,568.4547185,508.516496,471.790448444444
"8218",855.909391875,790.7742546875,770.503220272727,694.850957789474
"8221",630.778074166667,623.216815972222,589.36304881579,566.205381216216
"8222",622.2538503,595.868595026316,1015.74508861765,741.575524105263
"8223",856.544997176471,899.827780323529,911.392053805556,765.391175264706
"8224",685.308538878788,628.721819647059,793.185199969697,684.786506444444
"8225",654.537618972973,628.971093894737,661.649309026316,510.244450026316
"8226",582.8856288,506.93956362963,600.014883346154,498.740369233333
"8227",850.490381757576,832.353919727273,754.029787628571,717.1305266
"8228",517.475755410256,566.347850189189,630.312298923077,667.61837625641
"8229",856.316127942857,763.3572852,659.126623027778,661.456992631579
"8230",979.776806564103,909.985927351351,750.718270179487,798.830290487179
"8231",814.479083921053,751.363685272727,756.295683897436,628.0613935
"8233",568.703289117647,522.304343885714,487.809618666667,467.36101230303
"8234",728.893203361111,696.265501421053,717.479298294118,701.242880083333
