"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned"
"603",420.684813461538,400.786773710526,351.730887769231,349.3257726
"604",507.465896216216,507.555082514286,526.038442051282,559.06472725
"605",386.55097771875,394.312676555556,468.902202878788,453.842942894737
"606",501.158025388889,553.680763405405,529.637540310345,526.258427324324
"607",519.387998484848,560.912160821429,543.116422655172,499.456681633333
"608",367.74050415625,396.905165,381.696578962963,418.525622457143
"609",1131.801427,833.941232058824,837.343409,1012.80913703333
"610",514.960942076923,474.619233916667,677.636886815789,596.3237721
"611",354.285837225806,363.45144630303,468.916625193548,387.48666375
"612",434.771873826087,442.346248103448,543.349396590909,479.90647590625
"613",588.375834078947,643.324698235294,578.275463096774,604.01914272973
"614",651.119645,616.816932828571,589.316685725,506.068431243243
"615",810.455125694444,771.273608027027,809.956903,709.231463794872
"616",465.990187558823,411.220312108108,465.744687242424,517.907382611111
"617",471.6257383,475.028484909091,444.815336947368,445.043902342105
"618",598.230891,557.468539108108,786.163188290323,702.675488138889
"619",566.694370945946,489.338110515152,478.878067945946,481.157103405405
"620",463.225447931034,427.911735882353,618.649641137931,636.511414363636
"621",684.048403606061,656.49647669697,664.291373548387,598.274451114286
"622",567.989912648649,515.393268078947,595.956299846154,605.831816648649
