"Viewing","Participant","Congruency","Alignment","dprime","Count"
"CFS","1205","congruent","aligned",2.31798495503839,40
"CFS","1205","congruent","misaligned",2.08493867144949,40
"CFS","1205","incongruent","aligned",2.03696659190507,40
"CFS","1205","incongruent","misaligned",2.57944291802495,40
"CFS","1206","congruent","aligned",2.92640519249607,40
"CFS","1206","congruent","misaligned",2.43190094592061,40
"CFS","1206","incongruent","aligned",2.31798495503839,40
"CFS","1206","incongruent","misaligned",2.68128701644526,40
"CFS","1207","congruent","aligned",1.87931169158708,40
"CFS","1207","congruent","misaligned",2.1867827698698,40
"CFS","1207","incongruent","aligned",1.80595207825264,40
"CFS","1207","incongruent","misaligned",2.57944291802495,40
"CFS","1208","congruent","aligned",3.52295429314955,40
"CFS","1208","congruent","misaligned",3.24151555008465,40
"CFS","1208","incongruent","aligned",4.48280545520989,40
"CFS","1208","incongruent","misaligned",3.6809341985434,40
"monocular","1205","congruent","aligned",1.77621052464639,40
"monocular","1205","congruent","misaligned",1.97102268056727,40
"monocular","1205","incongruent","aligned",2.12317279911752,40
"monocular","1205","incongruent","misaligned",2.31798495503839,40
"monocular","1206","congruent","aligned",2.27860334850443,40
"monocular","1206","congruent","misaligned",2.03017409335904,40
"monocular","1206","incongruent","aligned",2.14908241081285,40
"monocular","1206","incongruent","misaligned",2.34528445094762,40
"monocular","1207","congruent","aligned",2.79520300732748,40
"monocular","1207","congruent","misaligned",2.03696659190507,40
"monocular","1207","incongruent","aligned",0.707109293305679,40
"monocular","1207","incongruent","misaligned",1.82483913057209,40
"monocular","1208","congruent","aligned",3.6809341985434,40
"monocular","1208","congruent","misaligned",3.27783611709874,40
"monocular","1208","incongruent","aligned",2.03696659190507,40
"monocular","1208","incongruent","misaligned",3.52295429314955,40
