"Participant","CFS.congruent.aligned","CFS.congruent.misaligned","CFS.incongruent.aligned","CFS.incongruent.misaligned","monocular.congruent.aligned","monocular.congruent.misaligned","monocular.incongruent.aligned","monocular.incongruent.misaligned"
"8201",2.89455327561353,3.28970725390294,2.1867827698698,2.58988085131446,2.68128701644526,1.71092313968987,1.90576440673648,1.86917858214696
"8202",3.08438509788993,2.87906294187691,1.89329366110834,2.1867827698698,2.89455327561353,1.73531375571448,1.90576440673648,1.28978049262959
"8203",2.28115270451137,2.79520300732748,3.11031336491606,2.43190094592061,3.28970725390294,3.91992796908011,2.43190094592061,2.72108303648306
"8204",2.03696659190507,1.05981021660365,1.45898980378152,1.67474989308405,1.5348986686804,1.64485362695147,1.14073549276804,1.37682469299524
"8205",2.92640519249607,4.201366712145,3.08438509788993,3.6809341985434,4.48280545520989,4.48280545520989,3.91992796908011,4.201366712145
"8206",3.6809341985434,3.88625635455642,3.60481761149153,3.6809341985434,3.6809341985434,2.99639737403384,3.24151555008465,3.91992796908011
"8207",2.79520300732748,2.31798495503839,3.28970725390294,3.08438509788993,3.91992796908011,3.88625635455642,2.31798495503839,3.6809341985434
"8208",2.1867827698698,2.37412076201194,2.47596486043225,2.72108303648306,3.60481761149153,2.99639737403384,2.89455327561353,3.08438509788993
"8209",3.27783611709874,3.39175210798095,2.47596486043225,3.91992796908011,3.88625635455642,2.87906294187691,1.9639319836465,3.6809341985434
"8210",2.58988085131446,2.48647486052439,1.36602174628096,2.11402122113454,2.30069876075202,2.48436449724809,1.42990477655655,1.71092313968987
"8212",2.58988085131446,3.08438509788993,2.31798495503839,2.58988085131446,2.92640519249607,1.90576440673648,1.77621052464639,1.516110983769
"8213",3.52295429314955,3.08438509788993,2.87906294187691,2.72108303648306,3.39949545547851,2.99639737403384,1.97102268056727,2.87906294187691
"8214",2.92640519249607,2.63445373473614,2.31934337714755,2.99639737403384,2.37412076201194,2.21614085661808,3.60481761149153,2.68128701644526
"8215",1.56083390220183,2.11402122113454,1.56083390220183,1.49019557966367,2.63445373473614,2.19494649729893,1.07405439032484,1.60411157054589
"8216",1.73531375571448,1.62864989721125,1.02468803352093,1.60019092950898,1.89329366110834,1.53566984678358,1.12089210697408,1.75817083490283
"8217",2.28115270451137,2.21614085661808,1.27224987623856,1.74810950641849,2.11402122113454,1.38835148124336,1.16209473634886,1.75817083490283
"8218",2.79520300732748,2.28115270451137,2.47596486043225,2.08493867144949,2.72108303648306,2.72108303648306,2.08493867144949,2.80158521811297
"8221",2.48647486052439,3.27783611709874,2.28115270451137,2.12317279911752,3.27783611709874,2.91589247780103,2.21331108767585,2.63445373473614
"8222",3.60481761149153,3.60481761149153,3.39175210798095,3.91992796908011,3.39949545547851,2.89455327561353,2.79520300732748,3.24151555008465
"8223",2.21614085661808,1.99197061394892,2.07286677898758,1.71092313968987,3.60481761149153,2.87906294187691,3.24151555008465,1.79184841585426
"8224",2.31798495503839,2.87906294187691,2.37412076201194,2.79520300732748,3.60481761149153,2.68128701644526,2.07286677898758,2.12317279911752
"8225",2.28115270451137,3.17599201867843,3.28970725390294,3.24151555008465,3.27783611709874,2.76580324031299,2.99639737403384,3.24151555008465
"8226",1.0549552813405,0.944533452633262,1.2359605495836,1.51935042410278,1.04880102541608,0.895397928472173,0.933129522668813,1.34897950039216
"8227",1.90576440673648,2.72108303648306,1.97102268056727,2.57944291802495,2.1867827698698,1.82483913057209,1.74810950641849,1.87931169158708
"8228",2.92640519249607,2.79520300732748,3.52295429314955,2.79520300732748,3.28970725390294,3.39949545547851,3.39175210798095,3.52295429314955
"8229",1.79184841585426,1.82483913057209,2.03696659190507,1.27981553906851,2.37412076201194,2.48647486052439,2.28115270451137,3.17599201867843
"8230",3.17599201867843,2.63445373473614,3.17599201867843,2.68128701644526,2.40026865331194,2.83916285364742,2.76580324031299,2.49474983074075
"8231",2.92640519249607,2.43190094592061,2.92640519249607,2.30069876075202,2.26297395816227,2.91589247780103,2.62672319401251,2.41372617470993
"8233",2.72108303648306,2.79520300732748,2.47596486043225,2.21614085661808,2.58988085131446,2.58988085131446,1.8780546230667,1.97102268056727
"8234",2.79520300732748,3.91992796908011,2.72108303648306,3.91992796908011,2.92640519249607,3.39949545547851,2.58988085131446,3.6809341985434
