"Participant","CFS.congruent.aligned","CFS.congruent.misaligned","CFS.incongruent.aligned","CFS.incongruent.misaligned","monocular.congruent.aligned","monocular.congruent.misaligned","monocular.incongruent.aligned","monocular.incongruent.misaligned"
"1101",1042.82057616223,1181.39827327551,1319.60150043586,1104.54100761942,773.973365365386,760.778470228271,840.242706757437,971.499696268055
"1102",800.645297539034,809.444648403183,895.820335552643,819.252000212019,643.540561658938,676.34612917631,662.554923990557,656.975028595888
"1103",750.870256324511,727.458013637089,722.119595680518,742.689091680237,630.119373912645,677.479478559552,632.632155212434,680.95492376993
"1104",762.831095968341,757.611683280577,812.651155414526,754.767845165948,771.766833572365,736.959252970628,817.439224749806,777.794501173906
"1105",647.095829618027,665.509288989195,665.83366998094,650.693478764866,740.954321756493,698.430689712417,760.013751356776,754.068601571884
"1106",719.571636560128,743.152421727968,742.252081806925,718.75017820466,930.619693621445,997.861346345291,947.264207720823,975.339058622844
"1108",670.768492935,630.345117843158,657.329728465154,660.963328542752,630.638457548611,619.787078140684,692.156403592447,633.24981189873
"1110",507.535904551096,550.13053572465,518.90903297307,519.228630857858,553.393162195571,572.220077778454,620.632444933595,555.677707837444
"1112",446.036712983853,453.533076294504,465.976769305884,461.466480584586,460.518085302239,442.668322379731,503.921802832395,457.519111847704
"1113",914.129209587557,910.870580124105,1002.20974727291,950.686049763609,870.296886308037,881.947693746598,913.094971693773,906.881812011845
"1114",496.629762922933,476.330009309543,495.450481384951,453.588248801218,521.716561738292,503.101420799175,575.389840451732,515.804290934258
"1115",783.67919200063,798.15282973028,836.257737446835,860.609906752451,703.859080180106,712.921657179582,685.929044046544,706.594077045338
"1116",692.020982686855,681.906306708918,670.40325792991,662.105230648026,677.830731217623,713.2414099805,667.680286762586,696.812718691638
"1118",742.026775976568,714.183901049166,715.136600511232,717.617942018388,814.24265641902,836.434039513972,890.785558468254,829.656022966522
"1120",478.201165471685,476.834921230661,481.281289245718,448.882030749635,538.619111133021,508.011454543559,555.940178133973,526.257852020194
