"Viewing","Participant","Congruency","Alignment","dprime","Count"
"CFS","8201","congruent","aligned",2.89455327561353,40
"CFS","8201","congruent","misaligned",3.28970725390294,40
"CFS","8201","incongruent","aligned",2.1867827698698,40
"CFS","8201","incongruent","misaligned",2.58988085131446,40
"CFS","8202","congruent","aligned",3.08438509788993,40
"CFS","8202","congruent","misaligned",2.87906294187691,40
"CFS","8202","incongruent","aligned",1.89329366110834,40
"CFS","8202","incongruent","misaligned",2.1867827698698,40
"CFS","8203","congruent","aligned",2.28115270451137,40
"CFS","8203","congruent","misaligned",2.79520300732748,40
"CFS","8203","incongruent","aligned",3.11031336491606,40
"CFS","8203","incongruent","misaligned",2.43190094592061,40
"CFS","8204","congruent","aligned",2.03696659190507,40
"CFS","8204","congruent","misaligned",1.05981021660365,40
"CFS","8204","incongruent","aligned",1.45898980378152,40
"CFS","8204","incongruent","misaligned",1.67474989308405,40
"CFS","8205","congruent","aligned",2.92640519249607,40
"CFS","8205","congruent","misaligned",4.201366712145,40
"CFS","8205","incongruent","aligned",3.08438509788993,40
"CFS","8205","incongruent","misaligned",3.6809341985434,40
"CFS","8206","congruent","aligned",3.6809341985434,40
"CFS","8206","congruent","misaligned",3.88625635455642,40
"CFS","8206","incongruent","aligned",3.60481761149153,40
"CFS","8206","incongruent","misaligned",3.6809341985434,40
"CFS","8207","congruent","aligned",2.79520300732748,40
"CFS","8207","congruent","misaligned",2.31798495503839,40
"CFS","8207","incongruent","aligned",3.28970725390294,40
"CFS","8207","incongruent","misaligned",3.08438509788993,40
"CFS","8208","congruent","aligned",2.1867827698698,40
"CFS","8208","congruent","misaligned",2.37412076201194,40
"CFS","8208","incongruent","aligned",2.47596486043225,40
"CFS","8208","incongruent","misaligned",2.72108303648306,40
"CFS","8209","congruent","aligned",3.27783611709874,40
"CFS","8209","congruent","misaligned",3.39175210798095,40
"CFS","8209","incongruent","aligned",2.47596486043225,40
"CFS","8209","incongruent","misaligned",3.91992796908011,40
"CFS","8210","congruent","aligned",2.58988085131446,40
"CFS","8210","congruent","misaligned",2.48647486052439,40
"CFS","8210","incongruent","aligned",1.36602174628096,40
"CFS","8210","incongruent","misaligned",2.11402122113454,40
"CFS","8212","congruent","aligned",2.58988085131446,40
"CFS","8212","congruent","misaligned",3.08438509788993,40
"CFS","8212","incongruent","aligned",2.31798495503839,40
"CFS","8212","incongruent","misaligned",2.58988085131446,40
"CFS","8213","congruent","aligned",3.52295429314955,40
"CFS","8213","congruent","misaligned",3.08438509788993,40
"CFS","8213","incongruent","aligned",2.87906294187691,40
"CFS","8213","incongruent","misaligned",2.72108303648306,40
"CFS","8214","congruent","aligned",2.92640519249607,40
"CFS","8214","congruent","misaligned",2.63445373473614,40
"CFS","8214","incongruent","aligned",2.31934337714755,40
"CFS","8214","incongruent","misaligned",2.99639737403384,40
"CFS","8215","congruent","aligned",1.56083390220183,40
"CFS","8215","congruent","misaligned",2.11402122113454,40
