"Experiment","Participant","Congruency","Alignment","RT","Count"
"monocular","610","incongruent","misaligned",621.18318575,68
"monocular","611","congruent","aligned",420.632954484848,66
"monocular","611","congruent","misaligned",419.722771903226,62
"monocular","611","incongruent","aligned",454.858625583333,60
"monocular","611","incongruent","misaligned",414.328781786885,61
"monocular","612","congruent","aligned",480.821671384615,65
"monocular","612","congruent","misaligned",480.768261596774,62
"monocular","612","incongruent","aligned",491.307220355932,59
"monocular","612","incongruent","misaligned",462.7477169,70
"monocular","613","congruent","aligned",620.710906984849,66
"monocular","613","congruent","misaligned",577.251493507246,69
"monocular","613","incongruent","aligned",632.544090349206,63
"monocular","613","incongruent","misaligned",576.953372257143,70
"monocular","614","congruent","aligned",575.255963905405,74
"monocular","614","congruent","misaligned",599.726865723684,76
"monocular","614","incongruent","aligned",626.246990454546,77
"monocular","614","incongruent","misaligned",572.554523302632,76
"monocular","615","congruent","aligned",788.136038350649,77
"monocular","615","congruent","misaligned",695.816836391892,74
"monocular","615","incongruent","aligned",742.806421243243,74
"monocular","615","incongruent","misaligned",719.4743385,74
"monocular","616","congruent","aligned",504.352436104478,67
"monocular","616","congruent","misaligned",515.871496555556,72
"monocular","616","incongruent","aligned",525.593830952381,63
"monocular","616","incongruent","misaligned",538.724340393939,66
"monocular","617","congruent","aligned",452.51728271831,71
"monocular","617","congruent","misaligned",442.479396657534,73
"monocular","617","incongruent","aligned",482.399164917808,73
"monocular","617","incongruent","misaligned",443.865737753425,73
"monocular","618","congruent","aligned",696.006053402985,67
"monocular","618","congruent","misaligned",771.092858307692,65
"monocular","618","incongruent","aligned",771.912316465517,58
"monocular","618","incongruent","misaligned",734.930917467742,62
"monocular","619","congruent","aligned",493.272998805556,72
"monocular","619","congruent","misaligned",499.892115407895,76
"monocular","619","incongruent","aligned",489.554905152778,72
"monocular","619","incongruent","misaligned",494.451433684932,73
"monocular","620","congruent","aligned",573.583470454545,66
"monocular","620","congruent","misaligned",616.539690791045,67
"monocular","620","incongruent","aligned",593.829815964286,56
"monocular","620","incongruent","misaligned",607.115135032258,62
"monocular","621","congruent","aligned",680.996957123288,73
"monocular","621","congruent","misaligned",576.872309452055,73
"monocular","621","incongruent","aligned",630.608545343284,67
"monocular","621","incongruent","misaligned",629.458443239437,71
"monocular","622","congruent","aligned",612.353483558824,68
"monocular","622","congruent","misaligned",610.99314080303,66
"monocular","622","incongruent","aligned",614.472931223881,67
"monocular","622","incongruent","misaligned",622.890616602941,68
