"Viewing","Participant","Congruency","Alignment","RT","Count"
"CFS","8233","incongruent","aligned",556.758893628571,70
"CFS","8233","incongruent","misaligned",565.478904791045,67
"CFS","8234","congruent","aligned",823.690216055556,72
"CFS","8234","congruent","misaligned",700.69562272,75
"CFS","8234","incongruent","aligned",791.319142338028,71
"CFS","8234","incongruent","misaligned",762.783185486842,76
"monocular","8201","congruent","aligned",789.158104088235,68
"monocular","8201","congruent","misaligned",823.359449983871,62
"monocular","8201","incongruent","aligned",819.040071890625,64
"monocular","8201","incongruent","misaligned",904.64917425,64
"monocular","8202","congruent","aligned",815.768372140845,71
"monocular","8202","congruent","misaligned",876.341846016129,62
"monocular","8202","incongruent","aligned",872.027236734375,64
"monocular","8202","incongruent","misaligned",832.615161035088,57
"monocular","8203","congruent","aligned",782.888683445946,74
"monocular","8203","congruent","misaligned",789.812345402597,77
"monocular","8203","incongruent","aligned",841.917832098591,71
"monocular","8203","incongruent","misaligned",806.551825180556,72
"monocular","8204","congruent","aligned",557.689723017241,58
"monocular","8204","congruent","misaligned",559.67610722807,57
"monocular","8204","incongruent","aligned",604.638619071429,56
"monocular","8204","incongruent","misaligned",576.044129053571,56
"monocular","8205","congruent","aligned",632.686079192308,78
"monocular","8205","congruent","misaligned",648.2228535,80
"monocular","8205","incongruent","aligned",667.935974342105,76
"monocular","8205","incongruent","misaligned",648.187935986842,76
"monocular","8206","congruent","aligned",677.620525394737,76
"monocular","8206","congruent","misaligned",701.319581056338,71
"monocular","8206","incongruent","aligned",736.020328232877,73
"monocular","8206","incongruent","misaligned",696.150641960526,76
"monocular","8207","congruent","aligned",681.230485710526,76
"monocular","8207","congruent","misaligned",730.749836486842,76
"monocular","8207","incongruent","aligned",733.676813058824,68
"monocular","8207","incongruent","misaligned",704.709753027027,74
"monocular","8208","congruent","aligned",706.194295106667,75
"monocular","8208","congruent","misaligned",710.072217055556,72
"monocular","8208","incongruent","aligned",778.332176171429,70
"monocular","8208","incongruent","misaligned",698.007382013699,73
"monocular","8209","congruent","aligned",544.317727723684,76
"monocular","8209","congruent","misaligned",561.177115493151,73
"monocular","8209","incongruent","aligned",629.38011384375,64
"monocular","8209","incongruent","misaligned",567.293549157895,76
"monocular","8210","congruent","aligned",694.358086652174,69
"monocular","8210","congruent","misaligned",682.593582716418,67
"monocular","8210","incongruent","aligned",743.590139491803,61
"monocular","8210","incongruent","misaligned",622.076237515625,64
"monocular","8212","congruent","aligned",1192.80601705556,72
"monocular","8212","congruent","misaligned",1218.570379875,64
"monocular","8212","incongruent","aligned",977.609780523809,63
"monocular","8212","incongruent","misaligned",1201.96958983607,61
"monocular","8213","congruent","aligned",692.438229733333,75
"monocular","8213","congruent","misaligned",641.792141,71
"monocular","8213","incongruent","aligned",708.245124553846,65
"monocular","8213","incongruent","misaligned",696.748137013889,72
"monocular","8214","congruent","aligned",678.911779617647,68
"monocular","8214","congruent","misaligned",635.122802166667,66
"monocular","8214","incongruent","aligned",695.406273815789,76
"monocular","8214","incongruent","misaligned",683.462806828571,70
"monocular","8215","congruent","aligned",832.199586044118,68
"monocular","8215","congruent","misaligned",820.387847723077,65
"monocular","8215","incongruent","aligned",974.5157918,55
"monocular","8215","incongruent","misaligned",1013.0495842623,61
"monocular","8216","congruent","aligned",920.151804238095,63
"monocular","8216","congruent","misaligned",796.813241915254,59
"monocular","8216","incongruent","aligned",880.924873865385,52
"monocular","8216","incongruent","misaligned",870.982466870968,62
"monocular","8217","congruent","aligned",513.905195791045,67
