"Participant","CFS.congruent.aligned","CFS.congruent.misaligned","CFS.incongruent.aligned","CFS.incongruent.misaligned","monocular.congruent.aligned","monocular.congruent.misaligned","monocular.incongruent.aligned","monocular.incongruent.misaligned"
"1205",536.41176438304,583.144290607795,552.165666309214,614.891645517363,556.647049565544,488.216503464431,536.12343671063,551.269698367981
"1206",923.869622495258,1120.89427494922,1017.56551910026,1117.85906226573,848.538050436519,828.712894760425,893.183757726648,819.175934620734
"1207",826.5734670348,766.896866283,847.683885586682,834.873876476886,839.826823189544,797.422038669013,941.229424404661,837.773341112643
"1208",653.365996775089,632.997811945263,704.178736640293,653.884959517072,717.199829117201,682.181794629192,716.693640424662,681.574631035274
