"Viewing","Participant","Congruency","Alignment","RT","Count"
"CFS","1101","congruent","aligned",1042.82057616223,58
"CFS","1101","congruent","misaligned",1181.39827327551,57
"CFS","1101","incongruent","aligned",1319.60150043586,58
"CFS","1101","incongruent","misaligned",1104.54100761942,58
"CFS","1102","congruent","aligned",800.645297539034,70
"CFS","1102","congruent","misaligned",809.444648403183,73
"CFS","1102","incongruent","aligned",895.820335552643,73
"CFS","1102","incongruent","misaligned",819.252000212019,72
"CFS","1103","congruent","aligned",750.870256324511,73
"CFS","1103","congruent","misaligned",727.458013637089,74
"CFS","1103","incongruent","aligned",722.119595680518,71
"CFS","1103","incongruent","misaligned",742.689091680237,76
"CFS","1104","congruent","aligned",762.831095968341,69
"CFS","1104","congruent","misaligned",757.611683280577,69
"CFS","1104","incongruent","aligned",812.651155414526,63
"CFS","1104","incongruent","misaligned",754.767845165948,69
"CFS","1105","congruent","aligned",647.095829618027,74
"CFS","1105","congruent","misaligned",665.509288989195,77
"CFS","1105","incongruent","aligned",665.83366998094,74
"CFS","1105","incongruent","misaligned",650.693478764866,73
"CFS","1106","congruent","aligned",719.571636560128,66
"CFS","1106","congruent","misaligned",743.152421727968,68
"CFS","1106","incongruent","aligned",742.252081806925,64
"CFS","1106","incongruent","misaligned",718.75017820466,63
"CFS","1108","congruent","aligned",670.768492935,76
"CFS","1108","congruent","misaligned",630.345117843158,74
"CFS","1108","incongruent","aligned",657.329728465154,73
"CFS","1108","incongruent","misaligned",660.963328542752,72
"CFS","1110","congruent","aligned",507.535904551096,77
"CFS","1110","congruent","misaligned",550.13053572465,75
"CFS","1110","incongruent","aligned",518.90903297307,73
"CFS","1110","incongruent","misaligned",519.228630857858,75
"CFS","1112","congruent","aligned",446.036712983853,73
"CFS","1112","congruent","misaligned",453.533076294504,68
"CFS","1112","incongruent","aligned",465.976769305884,70
"CFS","1112","incongruent","misaligned",461.466480584586,71
"CFS","1113","congruent","aligned",914.129209587557,61
"CFS","1113","congruent","misaligned",910.870580124105,60
"CFS","1113","incongruent","aligned",1002.20974727291,59
"CFS","1113","incongruent","misaligned",950.686049763609,51
"CFS","1114","congruent","aligned",496.629762922933,72
"CFS","1114","congruent","misaligned",476.330009309543,73
"CFS","1114","incongruent","aligned",495.450481384951,68
"CFS","1114","incongruent","misaligned",453.588248801218,69
"CFS","1115","congruent","aligned",783.67919200063,63
"CFS","1115","congruent","misaligned",798.15282973028,71
"CFS","1115","incongruent","aligned",836.257737446835,63
"CFS","1115","incongruent","misaligned",860.609906752451,65
"CFS","1116","congruent","aligned",692.020982686855,70
"CFS","1116","congruent","misaligned",681.906306708918,73
"CFS","1116","incongruent","aligned",670.40325792991,73
"CFS","1116","incongruent","misaligned",662.105230648026,73
"CFS","1118","congruent","aligned",742.026775976568,73
"CFS","1118","congruent","misaligned",714.183901049166,70
"CFS","1118","incongruent","aligned",715.136600511232,65
"CFS","1118","incongruent","misaligned",717.617942018388,68
"CFS","1120","congruent","aligned",478.201165471685,69
"CFS","1120","congruent","misaligned",476.834921230661,66
"CFS","1120","incongruent","aligned",481.281289245718,68
"CFS","1120","incongruent","misaligned",448.882030749635,69
"monocular","1101","congruent","aligned",773.973365365386,61
"monocular","1101","congruent","misaligned",760.778470228271,66
"monocular","1101","incongruent","aligned",840.242706757437,55
"monocular","1101","incongruent","misaligned",971.499696268055,57
"monocular","1102","congruent","aligned",643.540561658938,76
"monocular","1102","congruent","misaligned",676.34612917631,78
"monocular","1102","incongruent","aligned",662.554923990557,72
"monocular","1102","incongruent","misaligned",656.975028595888,74
"monocular","1103","congruent","aligned",630.119373912645,70
"monocular","1103","congruent","misaligned",677.479478559552,66
"monocular","1103","incongruent","aligned",632.632155212434,64
"monocular","1103","incongruent","misaligned",680.95492376993,67
"monocular","1104","congruent","aligned",771.766833572365,72
"monocular","1104","congruent","misaligned",736.959252970628,70
"monocular","1104","incongruent","aligned",817.439224749806,62
"monocular","1104","incongruent","misaligned",777.794501173906,67
"monocular","1105","congruent","aligned",740.954321756493,73
"monocular","1105","congruent","misaligned",698.430689712417,76
"monocular","1105","incongruent","aligned",760.013751356776,74
"monocular","1105","incongruent","misaligned",754.068601571884,74
"monocular","1106","congruent","aligned",930.619693621445,68
"monocular","1106","congruent","misaligned",997.861346345291,65
"monocular","1106","incongruent","aligned",947.264207720823,61
"monocular","1106","incongruent","misaligned",975.339058622844,59
"monocular","1108","congruent","aligned",630.638457548611,76
"monocular","1108","congruent","misaligned",619.787078140684,71
"monocular","1108","incongruent","aligned",692.156403592447,64
"monocular","1108","incongruent","misaligned",633.24981189873,71
"monocular","1110","congruent","aligned",553.393162195571,75
"monocular","1110","congruent","misaligned",572.220077778454,74
"monocular","1110","incongruent","aligned",620.632444933595,69
"monocular","1110","incongruent","misaligned",555.677707837444,76
"monocular","1112","congruent","aligned",460.518085302239,75
"monocular","1112","congruent","misaligned",442.668322379731,67
"monocular","1112","incongruent","aligned",503.921802832395,61
"monocular","1112","incongruent","misaligned",457.519111847704,68
"monocular","1113","congruent","aligned",870.296886308037,61
"monocular","1113","congruent","misaligned",881.947693746598,72
"monocular","1113","incongruent","aligned",913.094971693773,62
"monocular","1113","incongruent","misaligned",906.881812011845,60
"monocular","1114","congruent","aligned",521.716561738292,74
"monocular","1114","congruent","misaligned",503.101420799175,69
"monocular","1114","incongruent","aligned",575.389840451732,56
"monocular","1114","incongruent","misaligned",515.804290934258,69
"monocular","1115","congruent","aligned",703.859080180106,71
"monocular","1115","congruent","misaligned",712.921657179582,70
"monocular","1115","incongruent","aligned",685.929044046544,62
"monocular","1115","incongruent","misaligned",706.594077045338,64
"monocular","1116","congruent","aligned",677.830731217623,69
"monocular","1116","congruent","misaligned",713.2414099805,67
"monocular","1116","incongruent","aligned",667.680286762586,68
"monocular","1116","incongruent","misaligned",696.812718691638,70
"monocular","1118","congruent","aligned",814.24265641902,69
"monocular","1118","congruent","misaligned",836.434039513972,68
"monocular","1118","incongruent","aligned",890.785558468254,69
"monocular","1118","incongruent","misaligned",829.656022966522,63
"monocular","1120","congruent","aligned",538.619111133021,69
"monocular","1120","congruent","misaligned",508.011454543559,71
"monocular","1120","incongruent","aligned",555.940178133973,67
"monocular","1120","incongruent","misaligned",526.257852020194,72
