"Participant","CFS.congruent.aligned","CFS.congruent.misaligned","CFS.incongruent.aligned","CFS.incongruent.misaligned","monocular.congruent.aligned","monocular.congruent.misaligned","monocular.incongruent.aligned","monocular.incongruent.misaligned"
"603",2.47596486043225,3.11031336491606,2.89455327561353,2.40026865331194,3.39175210798095,3.24151555008465,2.83916285364742,3.39175210798095
"604",2.47596486043225,2.58988085131446,2.47596486043225,2.03696659190507,3.17599201867843,3.27783611709874,3.27783611709874,2.31798495503839
"605",2.03729159698093,1.19889026290412,1.38835148124336,1.89329366110834,1.67474989308405,1.34425834348781,1.099140167437,1.83397205322426
"606",2.92640519249607,2.87906294187691,2.11402122113454,2.28115270451137,2.37412076201194,1.73531375571448,1.63419351553627,2.03729159698093
"607",2.07286677898758,2.21614085661808,2.07286677898758,1.45898980378152,2.87906294187691,2.80158521811297,2.11402122113454,2.40026865331194
"608",2.58988085131446,2.43190094592061,2.08493867144949,2.1867827698698,2.28115270451137,2.30069876075202,1.80595207825264,2.12317279911752
"609",2.21614085661808,2.31798495503839,1.60411157054589,2.43190094592061,2.91589247780103,1.97102268056727,0.615949927109105,1.90576440673648
"610",2.68128701644526,3.28970725390294,3.24151555008465,3.39949545547851,3.08302396117786,2.89455327561353,2.80158521811297,2.83916285364742
"611",1.27981553906851,1.67474989308405,1.29538342374279,1.22555181576658,2.08493867144949,1.63419351553627,1.35317515240295,1.60907904126956
"612",1.73531375571448,2.21331108767585,1.83397205322426,2.83916285364742,2.41372617470993,1.96349299091585,1.77051497380655,2.89455327561353
"613",2.08493867144949,1.99197061394892,3.11031336491606,1.82483913057209,2.55772411058253,2.31798495503839,1.77621052464639,2.47596486043225
"614",4.48280545520989,3.88625635455642,4.201366712145,3.52295429314955,3.6809341985434,3.91992796908011,3.88625635455642,3.91992796908011
"615",2.31798495503839,2.79520300732748,2.31798495503839,3.28970725390294,3.88625635455642,3.39175210798095,3.39949545547851,3.11031336491606
"616",2.72108303648306,3.24151555008465,2.58988085131446,3.24151555008465,2.1867827698698,3.24151555008465,1.79184841585426,2.19494649729893
"617",2.08493867144949,2.58988085131446,3.27783611709874,2.99639737403384,3.11031336491606,3.08438509788993,2.79520300732748,3.24151555008465
"618",1.99197061394892,2.16925413965951,2.5631031310892,2.79520300732748,2.31934337714755,2.41372617470993,1.27981553906851,1.66687203195217
"619",3.60481761149153,2.58988085131446,3.08438509788993,1.97102268056727,2.79520300732748,3.60481761149153,2.92640519249607,2.72108303648306
"620",2.1867827698698,2.72108303648306,1.53234941711596,2.30069876075202,2.83916285364742,2.83916285364742,1.19889026290412,1.71092313968987
"621",3.11031336491606,2.79520300732748,2.37412076201194,2.99639737403384,3.08438509788993,3.24151555008465,2.19494649729893,2.72108303648306
"622",2.92640519249607,2.58988085131446,3.60481761149153,3.08438509788993,2.91589247780103,2.31934337714755,2.83916285364742,2.57944291802495
