"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned","CatchOnly.aligned","CatchOnly.misaligned"
"1205",3703.30703919831,3172.67719458517,2373.62682857148,1822.29452966825,2098.00909317467,2398.17212707628
"1206",4623.96118637491,3219.15875299601,3892.19310958879,2155.38947919458,2292.24105764241,1213.68493354567
"1207",3820.38648658083,2512.12100475778,3386.02248951748,7478.53795897288,1892.02328672673,2011.48670846117
"1208",NA,2087.92589424275,NA,3758.01118488244,808.583760633545,1051.36008889076
"1209",4307.93497097713,3818.1190647673,2740.37147222003,4052.65475494946,1034.09398973665,982.11992829935
"1210",2880.52902179861,2700.70793241496,5202.80148330323,5232.62134640095,1968.3521191213,1670.72866861963
"1211",3264.93584966601,NA,NA,3422.7138851993,1710.40395994614,877.130229728664
"1212",2052.52721316901,2050.50252064211,5661.44489312319,2155.40383335065,1305.21528115605,1654.16936851079
"1214",2130.61887103443,2000.45301105274,2908.37457992165,2400.410789327,1571.77015636343,980.089987077009
"1215",3145.96998083289,2980.24543344946,2048.31376558286,1697.65261322027,1469.7353881711,1004.18614272166
"1216",2655.59298351945,2932.15908580169,5307.07545781479,2570.5332049547,883.095057920271,1165.56985401803
"1217",NA,3295.54253769311,2420.78169609158,2690.28000214894,1679.74375945466,1838.67533771809
"1218",4805.98606869838,4855.17298943129,6589.29804602523,6295.34707074845,1447.11510611417,1484.36533121442
"1219",5328.08386153192,NA,NA,2470.49073195012,1086.02199857099,888.774340601837
"1220",3490.41626106919,4499.16513842618,6840.93804156146,5292.57412276639,1363.69068808563,874.674702595388
"1221",2880.52048031386,3700.4625883419,NA,2872.66725630616,1135.06967107484,1487.0500662073
"1222",1651.68808817915,NA,NA,NA,1432.81927767506,992.201949605771
"1223",NA,NA,2580.99316757944,4040.70743169178,1164.23539770201,1317.80678041241
"1224",NA,1900.33718994709,2992.8993374233,2945.3887435684,1063.38377893462,871.039526235108
"1225",NA,4127.98496929827,3820.50366358089,3655.12636496957,1825.48159198389,1358.69093214246
"1226",1787.38796688652,2510.59847366378,4833.64037399636,NA,1503.98023537532,1339.12616675267
"1227",NA,NA,2507.8898341767,2335.05419294625,1041.28189194554,1013.73661422297
"1228",3310.21444395901,2955.54500585968,3473.54649422232,3100.21538487762,1667.12149696423,2863.28661243497
"1229",NA,2510.72586858694,2342.96597220054,2382.84225923053,1442.2122514837,1243.65133539201
"1230",NA,2812.66383975163,9446.45093963481,3302.6196891442,1778.19953816167,1031.57204362651
"1231",4103.60839528342,4422.94866856536,3600.84553755587,NA,2441.09438081068,1797.21248512942
"1232",3308.63541106616,2730.72750665597,5701.08582032844,4002.65166410827,1853.47387239017,804.92729738277
"1233",4828.07358076479,5485.75342366462,2660.37070263883,3139.09449454718,1734.26161631469,1840.33300906971
"1234",4265.41051463801,3734.83901342206,4473.09904723988,2635.64367195476,1670.66588347734,1672.78512068401
"1235",NA,NA,1218.81712882168,985.217435040797,1298.71556479884,1269.12837081295
