"Viewing","Participant","Alignment","RT","Count"
"monocular","8207","aligned",3780.0085545,10
"monocular","8207","misaligned",3704.0283668,10
"monocular","8208","aligned",2911.9536713,10
"monocular","8208","misaligned",3030.2892374,10
"monocular","8209","aligned",1857.4576986,10
"monocular","8209","misaligned",1623.4394226,10
"monocular","8210","aligned",1764.0225536,10
"monocular","8210","misaligned",2267.3600858,10
"monocular","8212","aligned",3991.690199,9
"monocular","8212","misaligned",4285.35638044444,9
"monocular","8213","aligned",1548.8014618,10
"monocular","8213","misaligned",1650.0727927,10
"monocular","8214","aligned",2901.7024986,10
"monocular","8214","misaligned",2821.9855372,10
"monocular","8215","aligned",3142.0011463,10
"monocular","8215","misaligned",3525.6957835,10
"monocular","8216","aligned",2900.6423911,10
"monocular","8216","misaligned",3838.41876222222,9
"monocular","8217","aligned",863.5373976,10
"monocular","8217","misaligned",919.1869491,10
"monocular","8218","aligned",2460.3137867,10
"monocular","8218","misaligned",3510.8087581,10
"monocular","8221","aligned",1710.0710332,10
"monocular","8221","misaligned",2456.0183687,10
"monocular","8222","aligned",2768.8673694,10
"monocular","8222","misaligned",2608.7477487,10
"monocular","8223","aligned",1850.303539,10
"monocular","8223","misaligned",2211.2941744,10
"monocular","8224","aligned",2483.8637105,10
"monocular","8224","misaligned",2111.0985364,10
"monocular","8225","aligned",2408.2540144,10
"monocular","8225","misaligned",3087.3013675,10
"monocular","8227","aligned",2662.2920626,10
"monocular","8227","misaligned",3108.7980785,10
"monocular","8228","aligned",2359.3908325,10
"monocular","8228","misaligned",2435.6322161,10
"monocular","8229","aligned",1705.6746206,10
"monocular","8229","misaligned",1670.40108488889,9
"monocular","8230","aligned",3717.7869691,10
"monocular","8230","misaligned",3611.2453733,10
"monocular","8233","aligned",1549.4723634,10
"monocular","8233","misaligned",1600.5226753,10
"monocular","8234","aligned",2131.6816029,10
"monocular","8234","misaligned",2053.6027442,10
"CatchOnly","8201","aligned",1398.13494835,20
"CatchOnly","8201","misaligned",1250.7548142,20
"CatchOnly","8202","aligned",876.55156855,20
"CatchOnly","8202","misaligned",855.3573216,20
"CatchOnly","8203","aligned",1150.25450042105,19
"CatchOnly","8203","misaligned",967.134531052632,19
"CatchOnly","8204","aligned",1299.74457325,20
"CatchOnly","8204","misaligned",1152.33707025,20
"CatchOnly","8205","aligned",1024.57326475,20
"CatchOnly","8205","misaligned",1230.12193265,20
"CatchOnly","8206","aligned",1028.13239952632,19
"CatchOnly","8206","misaligned",1322.84905305,20
"CatchOnly","8207","aligned",1593.143195,20
"CatchOnly","8207","misaligned",1609.4639127,20
"CatchOnly","8208","aligned",887.465622947368,19
"CatchOnly","8208","misaligned",1009.13428942105,19
"CatchOnly","8209","aligned",865.5975431,20
"CatchOnly","8209","misaligned",798.767466277778,18
"CatchOnly","8210","aligned",870.33831145,20
"CatchOnly","8210","misaligned",748.2276817,20
"CatchOnly","8212","aligned",1827.36735942105,19
"CatchOnly","8212","misaligned",1998.045143,19
"CatchOnly","8213","aligned",1229.0112159,20
"CatchOnly","8213","misaligned",986.518114,18
"CatchOnly","8214","aligned",1076.77872226316,19
"CatchOnly","8214","misaligned",920.77991965,20
"CatchOnly","8215","aligned",1679.6715828,20
"CatchOnly","8215","misaligned",1913.09141285,20
"CatchOnly","8216","aligned",1115.8313654,20
"CatchOnly","8216","misaligned",1314.9606092,20
"CatchOnly","8217","aligned",810.744868,20
"CatchOnly","8217","misaligned",818.1499951,20
"CatchOnly","8218","aligned",1161.59873155,20
"CatchOnly","8218","misaligned",1162.41923775,20
"CatchOnly","8221","aligned",1123.01442772222,18
"CatchOnly","8221","misaligned",1004.3280839,20
"CatchOnly","8222","aligned",1271.08795510526,19
"CatchOnly","8222","misaligned",1351.04554905263,19
"CatchOnly","8223","aligned",1124.65299168421,19
"CatchOnly","8223","misaligned",1267.435969,20
"CatchOnly","8224","aligned",1273.10811435,20
"CatchOnly","8224","misaligned",1385.34314225,20
"CatchOnly","8225","aligned",1247.96519785,20
"CatchOnly","8225","misaligned",1227.7393681,20
"CatchOnly","8227","aligned",1406.36435935,20
"CatchOnly","8227","misaligned",1234.96432736842,19
"CatchOnly","8228","aligned",836.9759544,20
"CatchOnly","8228","misaligned",981.437556166667,18
"CatchOnly","8229","aligned",1732.99764755,20
"CatchOnly","8229","misaligned",1435.1824784,20
"CatchOnly","8230","aligned",936.377417052632,19
"CatchOnly","8230","misaligned",910.618323157895,19
"CatchOnly","8233","aligned",1141.3603832,20
"CatchOnly","8233","misaligned",1142.4342218,20
"CatchOnly","8234","aligned",1077.90499935,20
"CatchOnly","8234","misaligned",1038.41209657895,19
