"Viewing","Participant","Alignment","RT","Count"
"CFS","8201","aligned",4951.82154411111,9
"CFS","8201","misaligned",3866.1264767,10
"CFS","8202","aligned",746.8759504,10
"CFS","8202","misaligned",1461.8493502,10
"CFS","8203","aligned",3227.3453485,10
"CFS","8203","misaligned",2799.5949901,10
"CFS","8204","aligned",3179.1473107,10
"CFS","8204","misaligned",1873.7283698,10
"CFS","8205","aligned",2612.66847366667,9
"CFS","8205","misaligned",1947.5547272,10
"CFS","8206","aligned",2236.3273022,10
"CFS","8206","misaligned",2436.1127486,10
"CFS","8207","aligned",4223.2378335,10
"CFS","8207","misaligned",3614.9559911,10
"CFS","8208","aligned",1406.7647387,10
"CFS","8208","misaligned",1863.808338,10
"CFS","8209","aligned",2611.684304,10
"CFS","8209","misaligned",1730.8225877,10
"CFS","8210","aligned",1929.275193,9
"CFS","8210","misaligned",1585.4487322,10
"CFS","8212","aligned",3431.450601,10
"CFS","8212","misaligned",4521.02947922222,9
"CFS","8213","aligned",2475.1191724,10
"CFS","8213","misaligned",2901.6378431,10
"CFS","8214","aligned",1795.3807543,10
"CFS","8214","misaligned",1780.9738576,10
"CFS","8215","aligned",3032.01079355556,9
"CFS","8215","misaligned",3535.87875655556,9
"CFS","8216","aligned",1701.28605555556,9
"CFS","8216","misaligned",1968.9404641,10
"CFS","8217","aligned",981.2820017,10
"CFS","8217","misaligned",1071.707792,9
"CFS","8218","aligned",1643.3339058,10
"CFS","8218","misaligned",2011.3468385,10
"CFS","8221","aligned",2611.6295064,10
"CFS","8221","misaligned",2936.1865202,10
"CFS","8222","aligned",2061.1832321,10
"CFS","8222","misaligned",1999.9054639,10
"CFS","8223","aligned",3197.4184998,10
"CFS","8223","misaligned",2135.891279,10
"CFS","8224","aligned",1344.5388614,10
"CFS","8224","misaligned",976.9433799,10
"CFS","8225","aligned",4052.609148875,8
"CFS","8225","misaligned",3768.163968,10
"CFS","8227","aligned",3521.4073559,10
"CFS","8227","misaligned",3942.8947846,10
"CFS","8228","aligned",2397.0099069,10
"CFS","8228","misaligned",2088.7078436,10
"CFS","8229","aligned",2510.8811793,10
"CFS","8229","misaligned",2064.8617646,10
"CFS","8230","aligned",2721.3066474,10
"CFS","8230","misaligned",2441.1644607,10
"CFS","8233","aligned",2004.9379264,10
"CFS","8233","misaligned",3068.9752702,10
"CFS","8234","aligned",2459.1105408,10
"CFS","8234","misaligned",2778.88604722222,9
"monocular","8201","aligned",3173.01803188889,9
"monocular","8201","misaligned",2704.55036244444,9
"monocular","8202","aligned",2150.1202367,10
"monocular","8202","misaligned",1268.0610467,10
"monocular","8203","aligned",2232.9077542,10
"monocular","8203","misaligned",2417.0357442,10
"monocular","8204","aligned",2283.9158079,10
"monocular","8204","misaligned",2378.7083126,10
"monocular","8205","aligned",2053.2844484,10
"monocular","8205","misaligned",1926.901541,10
"monocular","8206","aligned",2648.4095918,10
"monocular","8206","misaligned",2700.6392858,10
