"Viewing","Participant","Alignment","Accuracy","Count"
"CatchOnly","8218","misaligned",1,20
"CatchOnly","8221","aligned",0.95,20
"CatchOnly","8221","misaligned",0.85,20
"CatchOnly","8222","aligned",0.95,20
"CatchOnly","8222","misaligned",0.95,20
"CatchOnly","8223","aligned",0.7,20
"CatchOnly","8223","misaligned",0.7,20
"CatchOnly","8224","aligned",0.7,20
"CatchOnly","8224","misaligned",0.8,20
"CatchOnly","8225","aligned",0.9,20
"CatchOnly","8225","misaligned",0.8,20
"CatchOnly","8227","aligned",0.8,20
"CatchOnly","8227","misaligned",0.95,20
"CatchOnly","8228","aligned",0.85,20
"CatchOnly","8228","misaligned",0.95,20
"CatchOnly","8229","aligned",0.8,20
"CatchOnly","8229","misaligned",0.8,20
"CatchOnly","8230","aligned",0.95,20
"CatchOnly","8230","misaligned",1,20
"CatchOnly","8233","aligned",0.9,20
"CatchOnly","8233","misaligned",0.85,20
"CatchOnly","8234","aligned",0.85,20
"CatchOnly","8234","misaligned",0.75,20
