"Viewing","Participant","Congruency","Alignment","RT","Count"
"CFS","1205","congruent","aligned",536.41176438304,67
"CFS","1205","congruent","misaligned",583.144290607795,67
"CFS","1205","incongruent","aligned",552.165666309214,64
"CFS","1205","incongruent","misaligned",614.891645517363,69
"CFS","1206","congruent","aligned",923.869622495258,73
"CFS","1206","congruent","misaligned",1120.89427494922,70
"CFS","1206","incongruent","aligned",1017.56551910026,68
"CFS","1206","incongruent","misaligned",1117.85906226573,70
"CFS","1207","congruent","aligned",826.5734670348,63
"CFS","1207","congruent","misaligned",766.896866283,67
"CFS","1207","incongruent","aligned",847.683885586682,63
"CFS","1207","incongruent","misaligned",834.873876476886,70
"CFS","1208","congruent","aligned",653.365996775089,75
"CFS","1208","congruent","misaligned",632.997811945263,73
"CFS","1208","incongruent","aligned",704.178736640293,78
"CFS","1208","incongruent","misaligned",653.884959517072,75
"monocular","1205","congruent","aligned",556.647049565544,64
"monocular","1205","congruent","misaligned",488.216503464431,66
"monocular","1205","incongruent","aligned",536.12343671063,66
"monocular","1205","incongruent","misaligned",551.269698367981,69
"monocular","1206","congruent","aligned",848.538050436519,62
"monocular","1206","congruent","misaligned",828.712894760425,62
"monocular","1206","incongruent","aligned",893.183757726648,61
"monocular","1206","incongruent","misaligned",819.175934620734,64
"monocular","1207","congruent","aligned",839.826823189544,71
"monocular","1207","congruent","misaligned",797.422038669013,65
"monocular","1207","incongruent","aligned",941.229424404661,51
"monocular","1207","incongruent","misaligned",837.773341112643,64
"monocular","1208","congruent","aligned",717.199829117201,76
"monocular","1208","congruent","misaligned",682.181794629192,72
"monocular","1208","incongruent","aligned",716.693640424662,64
"monocular","1208","incongruent","misaligned",681.574631035274,73
