ExpCode,Participant,CFS_Cover,WithCatch,CFS.congruent.aligned,CFS.congruent.misaligned,CFS.incongruent.aligned,CFS.incongruent.misaligned,monocular.congruent.aligned,monocular.congruent.misaligned,monocular.incongruent.aligned,monocular.incongruent.misaligned,CFS.inter,monocular.inter
E1,603,both,0,426.4930509275362,420.5080570958904,433.2575403802817,422.95663095652174,373.8406039305556,383.4012046351351,371.4433241044776,385.9856689864865,-4.315915592114152,4.981744177429334
E1,604,both,0,559.3545785942028,529.8353612999999,548.3969828285714,512.5587619846153,546.9125455492958,558.1467942222223,615.5531206527778,607.1986807,-6.31900354975312,-19.58868862570432
E1,605,both,0,403.2409773484849,403.7266083508772,390.626802775862,422.9414145238095,479.29409398387094,493.5850094545454,485.7891631320755,465.18355255,31.828980745555157,-34.89652605274995
E1,606,both,0,530.2985686351351,521.0052104583334,542.5175027727273,548.864839641791,611.7923063142857,587.2910352063492,581.6634394193549,606.4524535151515,15.640695045865414,49.29028520373322
E1,607,both,0,527.9756627462687,564.0679345522389,534.9722325076923,558.6665372333333,508.04200920270273,474.64565491428567,506.1686391076923,489.66321244776117,-12.397967080329181,16.89092762848594
E1,608,both,0,393.7885151666667,418.6483913521127,383.81719337878786,409.1365893283582,419.7050513880597,434.7041534492754,437.64573528571424,430.35269504545454,0.45951976412430895,-22.292142301475394
E1,609,both,0,827.504969522388,863.4679645147058,908.8533033166667,814.0968556857143,778.4517678970589,885.1892754,823.1681994347825,876.716981234375,-130.7194426232702,-53.18872570334872
E1,610,both,0,537.8749166,547.1836505405405,525.8008477837838,513.0771333648648,624.2334639855072,636.3630580714286,694.6707405942028,621.18318575,-22.03244835945941,-85.61714893012413
E1,611,both,0,403.1189719137931,400.8366105901639,381.25759089473684,401.77930680357144,420.6329544848485,419.7227719032258,454.8586255833333,414.32878178688526,22.804077232463783,-39.619661214825385
E1,612,both,0,427.28566603225806,436.0234191746032,422.45048744999997,414.13019429411764,480.82167138461534,480.76826159677415,491.3072203559322,462.7477169,-17.058046298227453,-28.50609366809101
E1,613,both,0,607.7044748656717,649.1896301969697,588.3767804583333,625.3691865714286,620.7109069848484,577.2514935072463,632.5440903492064,576.9533722571429,-4.492749218202675,-12.131304614461442
E1,614,both,0,637.4659065189874,630.0032975974026,645.0448619487179,644.9176823466667,575.2559639054053,599.7268657236841,626.2469904545454,572.5545233026315,7.335429319533546,-78.16336897019266
E1,615,both,0,780.1949258235295,781.8387231690141,784.612243231884,762.7675644054054,788.1360383506494,695.8168363918918,742.8064212432432,719.4743384999999,-23.488476171963157,68.98711921551433
E1,616,both,0,477.7180496111111,498.38079200000004,475.3205982571428,471.19960425,504.35243610447753,515.8714965555555,525.593830952381,538.7243403939393,-24.78373639603177,1.6114489904803122
